Base
9	-1	75	0
11
0	6	-28	722	1
1	7	2519.04	442.668	1
2	12	1949.67	135.443	5
3	7	1430.84	102	1
4	6	2079.37	307.654	1
5	6	2237	721.792	1
6	6	1696.84	654.106	2
7	7	1457.64	629.116	2
8	6	1697	1322	1
9	0	2078.34	1721.71	2
10	2	1969.41	1760.26	3
40	30
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	1186c03	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	1186c03	1186c03	1186c03	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	1186c03	1186c03	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1186c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1186c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	100000	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	1186c03	40000	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	100000	0	0	1186c03	1186c03	40000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	1106801	0	40000	1186c03	40000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	100000	100000	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	40000	40000	40000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	100000	c0000	100000	100000	100000	100000	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	100000	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	100000	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1186c03	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	103000	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	c0000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	100000	100000	0	0	3000	3000	3000	3000	3000	3000	3000	1107901	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	100000	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	1106804	0	0	0	3000	3000	3000	3000	3000	3000	3000	1107901	0	0	0	0	0	0	100000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	100000	100000	0	100000	100000	100000	100000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	1065202	1065202	1065202	1065202	1065202	1065202	1065202	1065202	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
