Woods
-1	-1	100	0
0
20	20
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	6003	0	0	0	0	0	6003	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	6003	6003	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	6003	0	0	e006	
e006	0	0	3006205	3006205	3006205	0	0	0	0	0	0	0	0	0	6003	0	0	0	e006	
e006	0	0	3006205	3006205	3006205	0	0	0	0	0	0	0	0	0	0	0	6003	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	6003	0	6003	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	6003	0	e006	
e006	0	0	6003	6003	6003	0	0	0	0	0	0	0	0	0	6003	0	0	0	e006	
e006	0	0	6003	6003	6003	0	0	0	0	0	0	0	0	0	0	6003	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	6003	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
