Woods
-1	-1	100	0
0
26	26
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	0	0	0	0	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	6003	0	6003	6003	0	6003	6003	0	0	0	0	0	0	0	0	0	6003	0	6003	0	0	e006	
e006	0	0	6003	0	0	6003	6003	6003	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	6003	0	e006	
e006	0	6003	0	6003	0	0	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	6003	0	0	6003	0	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	e006	
e006	0	0	6003	6003	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	6003	0	e006	
e006	0	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	6003	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	6003	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	6003	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	6003	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	0	0	0	0	0	0	0	0	0	6003	6003	6003	0	0	e006	
e006	0	0	0	0	6003	0	0	0	0	0	0	0	0	0	0	6003	6003	0	0	0	6003	0	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	0	0	0	0	6003	6003	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	6003	6003	6003	0	6003	0	0	0	0	0	6003	0	0	0	6003	6003	0	0	0	0	e006	
e006	0	0	0	6003	6003	0	6003	0	0	0	0	0	0	6003	0	6003	0	6003	0	0	0	0	0	0	e006	
e006	0	0	6003	6003	0	0	6003	6003	0	0	0	0	0	0	0	0	6003	0	0	0	0	6003	0	0	e006	
e006	0	0	6003	6003	0	6003	0	0	0	0	0	0	0	0	0	0	0	0	0	6003	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
