Base
15	-1	100
20
0	2	1928	-50	3
1	2	1834	-50	3
2	15	531.313	607.732	1
3	15	406.473	618.385	1
4	2	2036	-50	3
5	14	3860	1860	6
6	14	540	2606.07	1
7	15	140	2332.2	1
8	14	3860	1140	6
9	14	3748.91	1140	6
10	20	3156.45	140	1
11	20	3860	1375.68	4
12	19	3860	1591.34	3
13	19	2932.48	1140	3
14	19	3037.32	1860	3
15	0	3301.34	1519.07	5
16	19	3173.85	1140	2
17	19	2724.01	1140	2
18	14	2640	1860	5
19	14	3332.21	1140	6
40	30
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1000000	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1000000	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1186703	0	1106804	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	1000000	1000000	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1186803	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	1000000	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1000000	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	1000000	1000000	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1000000	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	1000000	0	0	1106801	1106801	3000	3000	3000	3000	3000	3000	3000	3000	1106801	1106801	0	0	1000000	1000000	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	1105702	1105702	1105702	1105702	1105702	1105702	1105702	1105702	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	1011000	1011000	1011000	1011000	1011000	1011000	1011000	1011000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1000000	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	1011000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	1000000	0	0	e006	
e006	0	0	0	0	0	0	0	1000000	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	1000000	0	0	e006	
e006	0	0	3000000	0	0	0	1000000	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	3000000	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	1186c03	0	0	0	0	0	1106801	1106001	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	1000000	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1106801	1106801	11000	11000	11000	11000	11000	11000	11000	11000	1106801	1106801	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
