Woods
-1	-1	140
1
0	9	1610	210	1
20	20
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1186c03	0	0	e006	
e006	0	0	3000000	1000000	1000000	0	0	0	0	0	0	0	0	0	1186803	0	0	0	e006	
e006	0	1000000	1000000	1000000	1000000	0	0	0	0	0	0	0	0	0	0	0	1186803	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000000	0	0	0	e006	
0	0	3046205	3046205	3000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	1000000	1000000	1000000	0	0	0	0	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	3046205	3046205	1186c03	1000000	0	0	0	0	0	0	0	0	0	1186c03	0	0	0	e006	
e006	0	1186c03	1186c03	1186c03	1000000	0	0	0	0	0	0	0	0	0	0	1186c03	0	0	e006	
e006	0	3000000	1000000	1000000	0	0	0	0	0	0	0	0	0	0	0	0	1186c03	0	e006	
e006	0	3046205	3046205	3046205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	3046205	3046205	3046205	0	0	0	0	0	0	0	0	0	0	0	1186c03	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
